Customer_ID,Total_Orders,Total_Sales,Last_Order_Date,Recency,Cluster,Customer_Segment
CB-12535,7,2574.1455,2018-06-16,197,0,Regular Customers
CC-12100,5,1685.889,2017-09-29,457,1,High Value Customers
CC-12145,7,2471.65,2018-09-15,106,0,Regular Customers
CC-12220,11,3670.258,2018-12-10,20,2,Low Engagement Customers
CC-12370,5,12129.072000000002,2018-11-17,43,2,Low Engagement Customers
CC-12430,10,2870.05,2018-12-30,0,2,Low Engagement Customers
CC-12475,9,1659.438,2018-11-21,39,2,Low Engagement Customers
CC-12550,3,113.832,2018-12-03,27,0,Regular Customers
CC-12610,7,2540.631,2018-11-26,34,0,Regular Customers
CC-12670,7,2269.7015,2018-12-01,29,0,Regular Customers
CC-12685,4,2854.1150000000002,2016-10-23,798,1,High Value Customers
CD-11920,5,2033.968,2018-11-20,40,0,Regular Customers
CD-11980,3,639.766,2018-11-06,54,0,Regular Customers
CD-12280,2,1205.584,2018-11-18,42,0,Regular Customers
CD-12790,5,1860.732,2017-11-26,399,1,High Value Customers
CG-12040,6,904.4680000000001,2018-11-11,49,0,Regular Customers
CG-12520,3,1148.7800000000002,2018-01-26,338,1,High Value Customers
CH-12070,3,1537.236,2017-02-08,690,1,High Value Customers
CJ-11875,1,16.52,2017-12-30,365,1,High Value Customers
CJ-12010,8,11164.974,2018-06-24,189,2,Low Engagement Customers
CK-12205,13,3154.855,2018-11-21,39,2,Low Engagement Customers
CK-12325,5,2945.321,2018-09-01,120,0,Regular Customers
CK-12595,11,2372.75,2018-11-17,43,2,Low Engagement Customers
CK-12760,9,1582.109,2018-10-09,82,2,Low Engagement Customers
CL-11890,4,1262.0140000000001,2018-09-15,106,0,Regular Customers
CL-12565,12,10880.546,2018-03-21,284,2,Low Engagement Customers
CL-12700,4,2335.586,2018-04-14,260,0,Regular Customers
CM-11815,6,1673.888,2018-08-21,131,0,Regular Customers
CM-11935,2,565.392,2017-01-22,707,1,High Value Customers
CM-12115,4,1661.6100000000001,2018-12-22,8,0,Regular Customers
CM-12160,6,2533.314,2018-12-04,26,0,Regular Customers
CM-12190,6,1475.144,2018-12-22,8,0,Regular Customers
CM-12235,5,2305.712,2017-12-10,385,1,High Value Customers
CM-12385,4,8954.019999999999,2018-11-23,37,2,Low Engagement Customers
CM-12445,3,287.99,2017-10-20,436,1,High Value Customers
CM-12655,5,5890.508,2018-12-03,27,2,Low Engagement Customers
CM-12715,4,3984.4524,2016-03-01,1034,1,High Value Customers
CP-12085,8,5402.254,2018-10-09,82,2,Low Engagement Customers
CP-12340,7,5817.187,2018-07-23,160,2,Low Engagement Customers
CR-12580,4,2148.852,2018-11-03,57,0,Regular Customers
CR-12625,3,475.9,2017-09-16,470,1,High Value Customers
CR-12730,4,1600.55,2018-10-13,78,0,Regular Customers
CR-12820,3,1397.8724,2018-10-06,85,0,Regular Customers
CS-11845,5,1278.954,2018-09-30,91,0,Regular Customers
CS-11860,6,537.632,2018-07-21,162,0,Regular Customers
CS-11950,11,3036.547,2018-12-05,25,2,Low Engagement Customers
CS-12130,4,884.64,2017-08-28,489,1,High Value Customers
CS-12175,5,844.4580000000001,2018-05-12,232,0,Regular Customers
CS-12250,12,2754.216,2018-12-04,26,2,Low Engagement Customers
CS-12355,11,3202.1620000000003,2018-12-24,6,2,Low Engagement Customers
CS-12400,9,3651.8585000000003,2018-12-28,2,2,Low Engagement Customers
CS-12460,2,550.644,2018-12-03,27,0,Regular Customers
CS-12490,4,970.1105,2017-11-01,424,1,High Value Customers
CS-12505,6,5690.054999999999,2018-11-02,58,2,Low Engagement Customers
CT-11995,8,3241.898,2018-09-25,96,2,Low Engagement Customers
CV-12295,5,2830.6279999999997,2018-04-20,254,0,Regular Customers
CV-12805,9,2370.3136,2018-12-25,5,2,Low Engagement Customers
CW-11905,6,1136.592,2018-12-08,22,0,Regular Customers
CY-12745,7,2004.0819999999999,2018-10-31,60,0,Regular Customers
Co-12640,5,1300.076,2017-06-29,549,1,High Value Customers
DA-13450,4,156.76,2018-01-12,352,1,High Value Customers
DB-12910,8,2171.599,2018-12-09,21,0,Regular Customers
DB-12970,4,2469.6672,2018-05-03,241,0,Regular Customers
DB-13060,6,4151.51,2018-12-14,16,0,Regular Customers
DB-13120,7,2973.094,2018-11-12,48,0,Regular Customers
DB-13210,10,2332.577,2018-12-21,9,2,Low Engagement Customers
DB-13270,8,4655.897,2018-11-07,53,2,Low Engagement Customers
DB-13360,5,1081.466,2018-04-10,264,0,Regular Customers
DB-13405,4,1711.692,2018-06-26,187,0,Regular Customers
DB-13555,7,3908.8028,2018-09-14,107,2,Low Engagement Customers
DB-13615,7,1989.05,2018-11-27,33,0,Regular Customers
DB-13660,7,1155.202,2018-12-18,12,0,Regular Customers
DC-12850,9,3336.168,2018-11-23,37,2,Low Engagement Customers
DC-13285,5,1174.618,2018-12-07,23,0,Regular Customers
DD-13570,6,269.542,2018-11-19,41,0,Regular Customers
DE-13255,5,2550.874,2017-01-11,718,1,High Value Customers
DF-13135,3,2390.534,2017-01-30,699,1,High Value Customers
DG-13300,5,3195.818,2018-11-28,32,0,Regular Customers
DH-13075,5,3487.1980000000003,2018-03-28,277,0,Regular Customers
DH-13675,4,1043.096,2016-11-15,775,1,High Value Customers
DJ-13420,4,2012.52,2017-04-02,637,1,High Value Customers
DJ-13510,8,2501.6879999999996,2018-11-12,48,2,Low Engagement Customers
DJ-13630,3,3356.398,2018-12-18,12,0,Regular Customers
DK-12835,12,3256.48,2018-12-09,21,2,Low Engagement Customers
DK-12895,5,4282.176,2018-11-15,45,0,Regular Customers
DK-12985,5,1687.04,2018-12-23,7,0,Regular Customers
DK-13090,7,2650.557,2018-11-18,42,0,Regular Customers
DK-13150,2,797.832,2018-12-20,10,0,Regular Customers
DK-13225,9,4802.394,2018-12-20,10,2,Low Engagement Customers
DK-13375,8,3318.486,2018-12-11,19,2,Low Engagement Customers
DL-12865,7,444.024,2018-09-21,100,0,Regular Customers
DL-12925,6,3272.2,2018-11-03,57,0,Regular Customers
DL-13315,8,1458.258,2018-12-08,22,0,Regular Customers
DL-13330,4,585.02,2018-11-03,57,0,Regular Customers
DL-13495,8,3539.322,2018-10-15,76,2,Low Engagement Customers
DM-12955,7,1322.034,2018-09-07,114,0,Regular Customers
DM-13015,7,6345.103,2018-11-03,57,2,Low Engagement Customers
DM-13345,8,4074.4719999999998,2018-12-08,22,2,Low Engagement Customers
DM-13525,3,1376.792,2017-09-05,481,1,High Value Customers
DN-13690,7,2139.79,2018-05-27,217,0,Regular Customers
DO-13435,9,1300.0315,2018-08-19,133,0,Regular Customers
DO-13645,7,1267.316,2018-12-04,26,0,Regular Customers
DP-13000,8,897.524,2018-08-26,126,0,Regular Customers
DP-13105,8,2215.002,2018-12-24,6,0,Regular Customers
DP-13165,2,1058.616,2016-10-10,811,1,High Value Customers
DP-13390,9,5480.723999999999,2018-01-06,358,2,Low Engagement Customers
DR-12880,9,6528.034000000001,2018-12-27,3,2,Low Engagement Customers
DR-12940,8,8350.868,2018-11-10,50,2,Low Engagement Customers
DS-13030,4,1762.213,2018-09-28,93,0,Regular Customers
DS-13180,9,2881.8128,2018-12-07,23,2,Low Engagement Customers
DV-13045,5,1119.483,2018-12-11,19,0,Regular Customers
DV-13465,5,3254.487,2018-12-01,29,0,Regular Customers
DW-13195,6,1080.751,2018-10-22,69,0,Regular Customers
DW-13480,5,5271.628,2018-05-27,217,0,Regular Customers
DW-13540,5,344.08,2018-09-23,98,0,Regular Customers
DW-13585,7,1204.854,2018-05-02,242,0,Regular Customers
Dl-13600,5,755.602,2018-09-02,119,0,Regular Customers
Dp-13240,11,7198.7609999999995,2018-10-07,84,2,Low Engagement Customers
EA-14035,12,2752.441,2018-07-31,152,2,Low Engagement Customers
EB-13705,9,3644.978,2018-11-12,48,2,Low Engagement Customers
EB-13750,10,3236.314,2018-11-25,35,2,Low Engagement Customers
EB-13840,4,964.448,2018-10-01,90,0,Regular Customers
EB-13870,10,2767.219,2018-09-21,100,2,Low Engagement Customers
EB-13930,5,944.6000000000001,2018-07-22,161,0,Regular Customers
EB-13975,4,1643.255,2018-12-30,0,0,Regular Customers
EB-14110,6,3071.126,2018-09-08,113,0,Regular Customers
EB-14170,6,1186.326,2018-10-09,82,0,Regular Customers
EC-14050,5,461.914,2018-11-07,53,0,Regular Customers
ED-13885,8,3484.92,2018-08-17,135,2,Low Engagement Customers
EG-13900,5,1832.02,2018-12-08,22,0,Regular Customers
EH-13765,10,9940.380000000001,2018-08-17,135,2,Low Engagement Customers
EH-13945,8,684.1709999999999,2018-05-27,217,0,Regular Customers
EH-13990,6,825.9499999999999,2017-11-20,405,1,High Value Customers
EH-14005,7,1219.53,2018-12-28,2,0,Regular Customers
EH-14125,10,3082.653,2018-07-31,152,2,Low Engagement Customers
EH-14185,6,923.884,2018-09-16,105,0,Regular Customers
EJ-13720,4,2162.174,2018-03-03,302,1,High Value Customers
EJ-14155,5,2656.691,2018-11-03,57,0,Regular Customers
EK-13795,4,1303.478,2018-11-16,44,0,Regular Customers
EL-13735,2,124.28,2018-10-14,77,0,Regular Customers
EM-13810,5,2567.0099999999998,2018-08-20,132,0,Regular Customers
EM-13825,8,2339.598,2018-11-05,55,0,Regular Customers
EM-13960,5,933.704,2018-08-01,151,0,Regular Customers
EM-14065,4,228.99,2018-11-13,47,0,Regular Customers
EM-14095,4,1041.0420000000001,2018-09-08,113,0,Regular Customers
EM-14140,6,4588.436000000001,2018-11-12,48,0,Regular Customers
EM-14200,3,366.822,2018-07-25,158,0,Regular Customers
EN-13780,4,2199.366,2018-03-18,287,0,Regular Customers
EP-13915,17,5478.0608,2018-12-18,12,2,Low Engagement Customers
ER-13855,3,1245.788,2017-11-04,421,1,High Value Customers
ES-14020,5,3510.4579999999996,2018-11-20,40,0,Regular Customers
ES-14080,9,4657.924,2018-12-02,28,2,Low Engagement Customers
FA-14230,7,2984.054,2018-09-24,97,0,Regular Customers
FC-14245,7,3418.742,2018-10-21,70,0,Regular Customers
FC-14335,7,3889.366,2018-06-29,184,2,Low Engagement Customers
FG-14260,7,1383.144,2018-11-26,34,0,Regular Customers
FH-14275,10,4256.272,2018-11-23,37,2,Low Engagement Customers
FH-14350,4,2271.284,2018-06-01,212,0,Regular Customers
FH-14365,8,6987.196,2018-12-25,5,2,Low Engagement Customers
FM-14215,10,2456.638,2018-12-23,7,2,Low Engagement Customers
FM-14290,9,3736.198,2018-11-24,36,2,Low Engagement Customers
FM-14380,9,2523.266,2018-08-07,145,2,Low Engagement Customers
FO-14305,10,2678.438,2018-11-22,38,2,Low Engagement Customers
FP-14320,8,4046.746,2018-12-07,23,2,Low Engagement Customers
FW-14395,3,79.75,2018-01-02,362,1,High Value Customers
GA-14515,5,3797.2320000000004,2018-08-03,149,0,Regular Customers
GA-14725,11,1398.382,2018-12-25,5,2,Low Engagement Customers
GB-14530,11,1568.44,2018-10-29,62,2,Low Engagement Customers
GB-14575,5,4716.288,2018-12-17,13,0,Regular Customers
GD-14590,4,1888.07,2018-12-25,5,0,Regular Customers
GG-14650,9,2224.0,2018-11-17,43,2,Low Engagement Customers
GH-14410,9,2819.4669999999996,2018-10-16,75,2,Low Engagement Customers
GH-14425,4,4172.8460000000005,2018-11-10,50,0,Regular Customers
GH-14485,2,1361.2440000000001,2017-12-08,387,1,High Value Customers
GH-14665,2,146.94080000000002,2018-12-28,2,0,Regular Customers
GK-14620,9,6497.27,2018-09-09,112,2,Low Engagement Customers
GM-14440,7,3582.8199999999997,2018-10-08,83,2,Low Engagement Customers
GM-14455,6,3078.624,2018-12-14,16,0,Regular Customers
GM-14500,10,1255.682,2018-09-15,106,2,Low Engagement Customers
GM-14680,6,3163.628,2018-07-31,152,0,Regular Customers
GM-14695,3,6049.966,2018-09-04,117,0,Regular Customers
GP-14740,2,236.53,2016-11-26,764,1,High Value Customers
GR-14560,2,1284.38,2015-11-21,1135,1,High Value Customers
GT-14635,3,9351.212,2018-11-04,56,2,Low Engagement Customers
GT-14710,11,11820.119999999999,2018-11-24,36,2,Low Engagement Customers
GT-14755,4,226.436,2018-11-26,34,0,Regular Customers
GW-14605,7,2189.019,2018-12-02,28,0,Regular Customers
GZ-14470,9,4355.150000000001,2018-12-23,7,2,Low Engagement Customers
GZ-14545,4,2454.6220000000003,2018-07-26,157,0,Regular Customers
HA-14905,7,2163.3,2018-10-22,69,0,Regular Customers
HA-14920,8,2584.158,2018-12-10,20,2,Low Engagement Customers
HD-14785,3,251.36,2016-11-22,768,1,High Value Customers
HE-14800,3,755.462,2018-12-18,12,0,Regular Customers
HF-14995,7,2533.1639999999998,2018-12-09,21,0,Regular Customers
HG-14845,5,785.628,2018-11-06,54,0,Regular Customers
HG-14965,12,3247.642,2018-12-07,23,2,Low Engagement Customers
HG-15025,7,3690.284,2018-12-24,6,2,Low Engagement Customers
HH-15010,2,218.668,2018-10-19,72,0,Regular Customers
HJ-14875,5,358.1,2018-08-26,126,0,Regular Customers
HK-14890,8,4877.784,2018-08-01,151,2,Low Engagement Customers
HL-15040,6,12873.297999999999,2018-11-17,43,2,Low Engagement Customers
HM-14860,10,8236.7648,2018-12-28,2,2,Low Engagement Customers
HM-14980,4,736.276,2018-04-27,247,0,Regular Customers
HP-14815,7,1990.314,2018-11-30,30,0,Regular Customers
HR-14770,4,940.588,2018-12-17,13,0,Regular Customers
HR-14830,7,5248.787,2018-07-24,159,2,Low Engagement Customers
HW-14935,7,4827.934,2018-09-04,117,2,Low Engagement Customers
HZ-14950,5,886.52,2018-11-25,35,0,Regular Customers
IG-15085,4,744.574,2018-10-20,71,0,Regular Customers
IL-15100,7,5040.736,2018-08-10,142,2,Low Engagement Customers
IM-15055,2,48.4,2017-11-16,409,1,High Value Customers
IM-15070,7,4930.474,2017-12-05,390,2,Low Engagement Customers
JA-15970,8,6491.026,2018-09-29,92,2,Low Engagement Customers
JB-15400,10,1791.605,2018-12-23,7,2,Low Engagement Customers
JB-15925,3,900.552,2016-12-24,736,1,High Value Customers
JB-16000,7,644.1188,2018-11-17,43,0,Regular Customers
JB-16045,5,2518.115,2018-12-23,7,0,Regular Customers
JC-15340,4,71.263,2018-09-07,114,0,Regular Customers
JC-15385,1,1058.108,2018-07-08,175,0,Regular Customers
JC-15775,9,2772.055,2018-07-25,158,2,Low Engagement Customers
JC-16105,5,858.576,2018-11-03,57,0,Regular Customers
JD-15790,5,2152.352,2018-09-04,117,0,Regular Customers
JD-15895,11,7610.8640000000005,2017-12-01,394,2,Low Engagement Customers
JD-16015,6,385.43,2018-09-09,112,0,Regular Customers
JD-16060,3,695.442,2018-03-05,300,1,High Value Customers
JD-16150,8,8828.0305,2018-11-19,41,2,Low Engagement Customers
JE-15475,6,1388.682,2018-06-20,193,0,Regular Customers
JE-15610,7,7754.976,2018-11-12,48,2,Low Engagement Customers
JE-15715,10,8697.842999999999,2018-11-14,46,2,Low Engagement Customers
JE-15745,13,6760.8150000000005,2018-11-09,51,2,Low Engagement Customers
JE-16165,3,2697.248,2018-12-10,20,0,Regular Customers
JF-15190,6,2239.606,2018-10-26,65,0,Regular Customers
JF-15295,5,955.124,2018-05-19,225,0,Regular Customers
JF-15355,6,1911.844,2018-09-16,105,0,Regular Customers
JF-15415,5,2309.432,2018-12-28,2,0,Regular Customers
JF-15490,10,890.95,2018-08-31,121,2,Low Engagement Customers
JF-15565,8,4198.332,2018-11-06,54,2,Low Engagement Customers
JG-15115,3,2358.676,2016-12-03,757,1,High Value Customers
JG-15160,11,6366.392,2018-12-29,1,2,Low Engagement Customers
JG-15310,6,2240.58,2018-12-28,2,0,Regular Customers
JG-15805,6,1507.018,2018-05-21,223,0,Regular Customers
JH-15430,4,309.281,2018-12-25,5,0,Regular Customers
JH-15820,6,528.91,2018-07-09,174,0,Regular Customers
JH-15910,7,959.477,2018-11-19,41,0,Regular Customers
JH-15985,6,7954.9980000000005,2018-12-01,29,2,Low Engagement Customers
JH-16180,4,2256.3940000000002,2017-11-21,404,1,High Value Customers
JJ-15445,5,709.178,2017-09-03,483,1,High Value Customers
JJ-15760,2,195.0,2016-12-08,752,1,High Value Customers
JK-15205,4,4262.2919999999995,2018-10-30,61,0,Regular Customers
JK-15325,3,383.812,2018-03-18,287,1,High Value Customers
JK-15370,7,2136.458,2018-11-16,44,0,Regular Customers
JK-15625,7,3760.028,2018-10-30,61,2,Low Engagement Customers
JK-15640,9,4760.434,2018-07-03,180,2,Low Engagement Customers
JK-15730,9,4769.9,2018-10-07,84,2,Low Engagement Customers
JK-16090,3,3747.668,2018-12-02,28,0,Regular Customers
JK-16120,10,2932.484,2018-09-04,117,2,Low Engagement Customers
JL-15130,6,1214.956,2018-12-22,8,0,Regular Customers
JL-15175,5,1571.523,2018-12-24,6,0,Regular Customers
JL-15235,5,2203.7,2018-09-02,119,0,Regular Customers
JL-15505,6,3173.874,2018-11-11,49,0,Regular Customers
JL-15835,10,9576.343,2018-12-09,21,2,Low Engagement Customers
JL-15850,6,2725.256,2017-04-25,614,1,High Value Customers
JM-15250,6,3159.1220000000003,2018-11-23,37,0,Regular Customers
JM-15265,5,1804.146,2018-11-23,37,0,Regular Customers
JM-15535,7,1733.443,2018-09-19,102,0,Regular Customers
JM-15580,5,303.948,2018-12-30,0,0,Regular Customers
JM-15655,5,864.947,2018-12-22,8,0,Regular Customers
JM-15865,7,7625.076000000001,2018-09-12,109,2,Low Engagement Customers
JM-16195,10,2833.9260000000004,2018-11-03,57,2,Low Engagement Customers
JO-15145,9,3254.949,2018-11-03,57,2,Low Engagement Customers
JO-15280,6,1934.272,2018-09-29,92,0,Regular Customers
JO-15550,5,1090.838,2018-05-29,215,0,Regular Customers
JP-15460,7,1669.135,2018-11-23,37,0,Regular Customers
JP-15520,7,3635.594,2018-12-22,8,2,Low Engagement Customers
JP-16135,9,1707.71,2018-09-19,102,2,Low Engagement Customers
JR-15670,2,1156.658,2017-05-16,593,1,High Value Customers
JR-15700,1,863.88,2018-10-23,68,0,Regular Customers
JR-16210,5,2201.686,2018-11-27,33,0,Regular Customers
JS-15595,4,1417.654,2018-09-02,119,0,Regular Customers
JS-15685,3,990.1959999999999,2018-11-18,42,0,Regular Customers
JS-15880,5,3868.02,2017-07-14,534,1,High Value Customers
JS-15940,5,469.169,2017-09-23,463,1,High Value Customers
JS-16030,6,2516.494,2018-12-02,28,0,Regular Customers
JW-15220,6,7721.714,2018-11-18,42,2,Low Engagement Customers
JW-15955,6,1049.2379999999998,2018-12-25,5,0,Regular Customers
JW-16075,4,1428.731,2017-09-25,461,1,High Value Customers
KA-16525,7,1519.506,2018-11-24,36,0,Regular Customers
KB-16240,7,3152.6150000000002,2018-12-26,4,0,Regular Customers
KB-16315,9,1569.464,2018-03-09,296,2,Low Engagement Customers
KB-16405,3,908.821,2018-09-04,117,0,Regular Customers
KB-16585,12,2744.742,2018-05-14,230,2,Low Engagement Customers
KB-16600,7,983.922,2018-12-29,1,0,Regular Customers
KC-16255,6,2120.954,2017-11-18,407,1,High Value Customers
KC-16540,4,3908.262,2018-09-24,97,0,Regular Customers
KC-16675,4,1146.05,2018-11-03,57,0,Regular Customers
KD-16270,5,8282.358,2017-09-02,484,1,High Value Customers
KD-16345,6,1888.964,2018-11-19,41,0,Regular Customers
KD-16495,12,8181.256,2018-09-09,112,2,Low Engagement Customers
KD-16615,4,907.158,2018-03-16,289,0,Regular Customers
KE-16420,7,1453.2812000000001,2018-12-04,26,0,Regular Customers
KF-16285,7,10604.266,2018-09-24,97,2,Low Engagement Customers
